City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,cloudiness,wind Speed
235,Haines Junction,CA,2021-10-28 00:18:20,60.7522,-137.5108,31.95,69,99,1.14
236,Smoky Lake,CA,2021-10-28 00:18:20,54.1169,-112.4686,48.96,53,44,3.44
237,Bana,CM,2021-10-28 00:18:21,5.1481,10.2762,60.4,96,71,0.85
238,Ahipara,NZ,2021-10-28 00:18:21,-35.1667,173.1667,68.2,65,100,5.53
239,Lompoc,US,2021-10-28 00:13:53,34.6391,-120.4579,79.21,66,1,11.5
240,Ejura,GH,2021-10-28 00:16:20,7.3856,-1.3562,72.57,93,32,4.23
241,Boa Vista,BR,2021-10-28 00:18:22,2.8197,-60.6733,82.38,65,20,6.91
242,Ewa Beach,US,2021-10-28 00:18:22,21.3156,-158.0072,85.01,58,75,11.5
243,Merano,IT,2021-10-28 00:18:23,46.6682,11.1595,52.34,53,2,2.15
244,Saint George,US,2021-10-28 00:16:52,37.1041,-113.5841,70.27,33,1,1.99
245,Tucumcari,US,2021-10-28 00:18:23,35.1717,-103.725,60.94,14,1,6.91
246,Vestmanna,FO,2021-10-28 00:18:23,62.1564,-7.1664,45.52,100,90,10.36
247,Khuzdar,PK,2021-10-28 00:18:24,27.7384,66.6434,58.14,41,0,1.92
248,Grand Gaube,MU,2021-10-28 00:18:24,-20.0064,57.6608,71.38,73,3,1.99
249,Porto Walter,BR,2021-10-28 00:18:24,-8.2686,-72.7439,78.39,69,82,1.5
250,Muravlenko,RU,2021-10-28 00:18:24,63.7898,74.523,9.45,93,51,7.76
251,Puerto Escondido,MX,2021-10-28 00:18:25,15.85,-97.0667,83.23,65,40,9.22
252,Brus,RS,2021-10-28 00:18:25,43.3836,21.0336,34.34,89,2,1.16
253,Chivay,PE,2021-10-28 00:18:25,-15.6383,-71.6011,52.57,32,12,7.2
254,Sioux Lookout,CA,2021-10-28 00:18:26,50.1001,-91.917,46.78,81,90,3.44
255,Korla,CN,2021-10-28 00:18:26,41.7597,86.1469,45.61,46,6,2.57
256,Machali,CL,2021-10-28 00:18:26,-34.1833,-70.6667,67.15,49,15,1.54
257,Zermatt,CH,2021-10-28 00:18:27,46.0213,7.7491,39.11,38,0,7.67
258,Kilis,TR,2021-10-28 00:18:27,36.7161,37.115,53.83,27,38,3.62
259,Vega De Alatorre,MX,2021-10-28 00:18:27,20.0333,-96.6333,83.62,85,8,4.41
260,Coihaique,CL,2021-10-28 00:18:28,-45.5752,-72.0662,57.15,47,75,8.05
261,Sitka,US,2021-10-28 00:13:51,57.0531,-135.33,44.49,76,90,13.8
262,Sokoni,TZ,2021-10-28 00:18:28,-6.4333,39.55,78.17,78,51,5.64
263,Burns Lake,CA,2021-10-28 00:18:28,54.2331,-125.7533,42.22,56,14,11.23
264,Alugan,PH,2021-10-28 00:18:29,12.2188,125.4808,82.33,79,95,6.87
265,Clyde River,CA,2021-10-28 00:18:29,70.4692,-68.5914,27.16,83,100,2.93
266,Saint-Doulchard,FR,2021-10-28 00:18:29,47.1037,2.352,44.98,89,2,6.87
267,Sorong,ID,2021-10-28 00:18:30,-0.8833,131.25,83.39,76,63,7.9
268,Krasnoselkup,RU,2021-10-28 00:18:30,65.7,82.4667,1.8,99,82,6.71
269,Datong,CN,2021-10-28 00:18:30,40.0936,113.2914,46.94,43,100,2.95
270,Tiksi,RU,2021-10-28 00:18:31,71.6872,128.8694,1.69,99,77,4.21
271,Tautira,PF,2021-10-28 00:18:31,-17.7333,-149.15,82.42,76,4,12.03
272,Khakhea,BW,2021-10-28 00:18:31,-24.6895,23.494,66.9,80,100,15.1
273,Ubinskoye,RU,2021-10-28 00:18:31,55.3068,79.6802,29.46,59,96,10.2
274,Terme,TR,2021-10-28 00:19:32,41.2092,36.9739,55.96,81,86,0.92
275,Moussoro,TD,2021-10-28 00:19:32,13.6408,16.4901,84.02,14,32,9.51
276,Nanakuli,US,2021-10-28 00:19:33,21.3906,-158.1547,85.03,61,75,10.36
277,Hofn,IS,2021-10-28 00:19:33,64.2539,-15.2082,37.42,87,90,3.44
278,Cayenne,GF,2021-10-28 00:19:33,4.9333,-52.3333,82.09,83,0,5.01
279,Riberalta,BO,2021-10-28 00:19:34,-10.9833,-66.1,76.51,79,79,2.66
280,Plettenberg Bay,ZA,2021-10-28 00:19:34,-34.0527,23.3716,66.04,89,92,3.74
281,Pasni,PK,2021-10-28 00:19:34,25.2631,63.471,77.05,62,0,4.05
282,Whitley Bay,GB,2021-10-28 00:19:35,55.0397,-1.4471,61.32,75,40,1.01
283,Berdsk,RU,2021-10-28 00:14:38,54.7551,83.0967,27.09,58,83,8.52
284,Saint-Cyr-Sur-Loire,FR,2021-10-28 00:19:35,47.4,0.6667,46.65,93,0,4.61
285,Yarmouth,US,2021-10-28 00:19:35,41.7057,-70.2286,51.15,96,100,35.99
286,Rawson,AR,2021-10-28 00:19:35,-43.3002,-65.1023,71.04,33,0,24.36
287,Basco,PH,2021-10-28 00:19:36,20.4487,121.9702,80.02,70,96,22.32
288,Mana,GF,2021-10-28 00:19:36,5.6592,-53.7767,78.51,89,40,9.26
289,Rocha,UY,2021-10-28 00:19:36,-34.4833,-54.3333,65.44,74,0,4.12
290,Sur,OM,2021-10-28 00:19:37,22.5667,59.5289,76.71,68,6,6.87
291,Darnah,LY,2021-10-28 00:19:37,32.767,22.6367,69.67,85,36,9.44
292,Dorado,PR,2021-10-28 00:19:37,18.4588,-66.2677,82.29,70,69,7.83
